"names","locations"
"zaneology","Dallas, Texas"
"jazzmine_singh","Dallas"
"bobj72","Dallas, TX"
"TheKyleBowers","Plano, TX"
"tannerthehammer","Dallas, TX"
"omniscientsan","Arlington, TX"
"WesTrimble","Dallas, TX"
"X_2theZ","McKinney, TX"
"CodyMFDubb","Dallas"
"scpurplegurl","Dallas, TX"
"felisa76","Dallas, TX"
"dntgve","Oak Cliff,Tx"
"fickles","Dallas, Texas"
"ohxnelli","Dallas, TX"
"nlpracing","Arlington, TX"
"mephilli_","Dallas, TX"
"Amaya_Yue",""
"joshuad31","Dallas, TX"
"J__Vicario","Dallas, TX"
"KacyPalmore","Mesquite, Texas"
"1John534","Arlington, Texas"
"aynsleytaylor","Dallas, TX"
"DedrickWelch","McKinney, TX"
"ryty51","Dallas, TX"
"CalvinMellick","Dallas, Texas"
"teitlus","Plano, TX"
"Bennyboy921",""
"Norris_Samuel","Dallas,TX"
"MrMikeB469","Dallas Texas"
"CedarHillMom","Cedar Hill, Texas"
"youdontknowjen","Fort Worth, TX"
"CordinBleu","Dallas"
"robbierakestraw","Combine, Texas"
"ATTCares_Not",""
"RealPaulaCain",""
"Mail4Felicia","Dallas, Texas"
"GOP_Bentley","Dallas, TX"
"Ms_CindiMcEntee","Dallas, TX, USA"
"Blueshift_Films","Fort Worth, TX"
"Hellified_Juicy","Tamarac, FL"
"harropj","Dallas, TX"
"WanjaPowers","Allen, TX"
"ATT","Dallas, TX"
"shobhit1","Dallas, TX"
"Sloppymcflopy8","Dallas, TX"
"socialdesigner","Dallas, Texas"
"bartwilburn","Dallas, Texas"
"WilliamMcMillan","Dallas, TX"
"nunyabz","Dallas, TX"
"culturejedi","Your Town"
"jleappel","Fort Worth, TX"
"od2be2003","Dallas, TX"
"pingwylie","Plano"
"_AceFlaco","Cedar Hill, TX"
"TrickyKid2","New York-Dallas-Los Angeles"
"Dig_Bill","Dallas"
"joshuaclintonn",""
"KingDavidnDFW","dallas, tx"
"ogreen32","Dallas"
"spencerkg_",""
"AmosDeHoyos","Dallas, Tx "
"lclsportsluvver","Arlington, TX"
"Dskotak","Arlington, Texas"
"ninjacassie","Dallas, TX"
"howie_isaacks","Addison, TX"
